batch_group,description,extraction_priority,publisher_or_brand_guess,authority_level_guess,document_kind_guess,equipment_scope_guess,page_count,text_quality,recommended_extraction_mode,size_mb,path
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P2,ASHRAE,industry_standard,standard_reference,standard_reference,1088,text,section_aware,130,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/standards/ASHRAE/ASHRAE_Handbook_-_Fundamentals_2021_-_SI.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P2,ASHRAE,industry_standard,standard_reference,standard_reference,1014,text,section_aware,82,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/standards/ASHRAE/ASHRAE手册_-_基础理论篇.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P2,ASHRAE,industry_standard,standard_reference,standard_reference,1006,text,section_aware,64,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/standards/ASHRAE/ASHRAE手册2024.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P2,ASHRAE,industry_standard,standard_reference,standard_reference,892,text,section_aware,64,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/standards/ASHRAE/2001_ASHRAE_Fundamentals_Handbook.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P2,ASHRAE,industry_standard,standard_reference,standard_reference,1100,text,section_aware,47,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/standards/ASHRAE/ASHRAE_Handbook_-_Fundamentals_2021_-_IP_(NXPowerLite_Copy).pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P2,ASHRAE,industry_standard,standard_reference,standard_reference,1361,text,section_aware,35,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/standards/ASHRAE/ASHRAE手册2019.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P2,ASHRAE,industry_standard,standard_reference,standard_reference,986,text,section_aware,20,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/standards/ASHRAE/ASHRAE手册_-_HVAC系统和设备篇.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P2,ASHRAE,industry_standard,standard_reference,standard_reference,494,text,section_aware,14,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/standards/ASHRAE/ASHRAE绿色建筑指南.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P2,ASHRAE,industry_standard,standard_reference,standard_reference,468,text,section_aware,6,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/standards/ASHRAE/ASHRAE_Standard_90.1-2022_I-P.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P2,ASHRAE,industry_standard,standard_reference,standard_reference,401,text,section_aware,6,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/standards/ASHRAE/空调_系统_设计_手册_Ashrae_特别_出版物.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P2,ASHRAE,industry_standard,standard_reference,standard_reference,401,text,section_aware,6,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/standards/ASHRAE/ASHRAE_Air_Conditioning_System_Design_Manual.pdf
