sample_no,knowledge_object_id,ontology_class_id,knowledge_object_type,canonical_key,title,layers,publisher,source_name,value_summary,unit,range_min,range_max,value,default_value,summary,evidence_quote,doc_id,chunk_id,human_audit_verdict,codex_initial_note
1,ko_0d07e38beb2cde12,centrifugal_chiller,performance_spec,hvac:centrifugal_chiller:performance_spec:制冷量,制冷量,6,McQuay,制冷量,1385.5kW,kW,,,1385.5,,制冷量 kW 1385.5,,doc_fa41ab46ea8d4bd7,chunk_40b14f2fb3a6489f,,likely_true_conflict: Same nominal cooling capacity concept; values differ by model/range.
1,ko_0d07e38beb2cde12,centrifugal_chiller,performance_spec,hvac:centrifugal_chiller:performance_spec:制冷量,制冷量,6,McQuay,制冷量,1028.2kW,kW,,,1028.2,,制冷量 kW 1028.2,,doc_fa41ab46ea8d4bd7,chunk_fcbd31b949284aad,,likely_true_conflict: Same nominal cooling capacity concept; values differ by model/range.
1,ko_0d07e38beb2cde12,centrifugal_chiller,performance_spec,hvac:centrifugal_chiller:performance_spec:制冷量,制冷量,6,McQuay,制冷量,1196.2kW,kW,,,1196.2,,制冷量 kW 1196.2,,doc_fa41ab46ea8d4bd7,chunk_793314253e174227,,likely_true_conflict: Same nominal cooling capacity concept; values differ by model/range.
1,ko_0d07e38beb2cde12,centrifugal_chiller,performance_spec,hvac:centrifugal_chiller:performance_spec:制冷量,制冷量,6,McQuay,每台制冷量,800冷吨,冷吨,,,800,,每台制冷量 冷吨 800,,doc_fa41ab46ea8d4bd7,chunk_13860dd5ed314adc,,likely_true_conflict: Same nominal cooling capacity concept; values differ by model/range.
1,ko_0d07e38beb2cde12,centrifugal_chiller,performance_spec,hvac:centrifugal_chiller:performance_spec:制冷量,制冷量,6,特灵,制冷量,制冷量,,,,,,CVHE/G冷水机组常规工况制冷量范围400~1400冷吨。,,doc_2380c51ffae04bff,chunk_eb342529e1ea4c8b,,likely_true_conflict: Same nominal cooling capacity concept; values differ by model/range.
1,ko_0d07e38beb2cde12,centrifugal_chiller,performance_spec,hvac:centrifugal_chiller:performance_spec:制冷量,制冷量,6,特灵,制冷量,制冷量,,,,,,CDHG机组冷量范围2250~2600冷吨。,,doc_2380c51ffae04bff,chunk_15408d60091e4eed,,likely_true_conflict: Same nominal cooling capacity concept; values differ by model/range.
2,ko_17f0b96529e22232,ahu,maintenance_procedure,hvac:ahu:maintenance:防冻措施,防冻措施,5,特灵,防冻措施,防冻措施,,,,,,机组不使用的季节，必须及时将盘管内余水排尽，以防止冬季换热器铜管冻裂。,,doc_79470be9a10d4cb0,chunk_dcde3801fc4e4624,,true_merge: Same AHU winter coil freeze-protection maintenance procedure.
2,ko_17f0b96529e22232,ahu,maintenance_procedure,hvac:ahu:maintenance:防冻措施,防冻措施,5,美的,冬季防冻措施,冬季防冻措施,,,,,,若需停机，必须保持盘管内供水连续流动并注入防冻液，且关闭新风阀。若长时间停运，应将盘管内的水放空。,,doc_bf105e86482a4706,chunk_04de418b184b436c,,true_merge: Same AHU winter coil freeze-protection maintenance procedure.
2,ko_17f0b96529e22232,ahu,maintenance_procedure,hvac:ahu:maintenance:防冻措施,防冻措施,5,格力,冬季防冻操作,冬季防冻操作,,,,,,冬季不运行时应放空表冷器内水并用压缩空气吹出存水，防止冻坏。,,doc_9121312b10544c44,chunk_c64cb7292c49456f,,true_merge: Same AHU winter coil freeze-protection maintenance procedure.
2,ko_17f0b96529e22232,ahu,maintenance_procedure,hvac:ahu:maintenance:防冻措施,防冻措施,5,unknown,冬季表冷器防冻,冬季表冷器防冻,,,,,,冬季表冷器须排尽管内水，所有残留水都应吹去,,doc_2d24c074965d4254,chunk_ff2d1068f20344dc,,true_merge: Same AHU winter coil freeze-protection maintenance procedure.
2,ko_17f0b96529e22232,ahu,maintenance_procedure,hvac:ahu:maintenance:防冻措施,防冻措施,5,美的,Winter Coil Protection,Winter Coil Protection,,,,,,"If unit not in operation during winter, release all water from system to prevent coil cracking.",,doc_339a0d45ac3d4233,chunk_5e91a78a2da54cee,,true_merge: Same AHU winter coil freeze-protection maintenance procedure.
3,ko_40e8b515811dcc91,screw_chiller,parameter_spec,hvac:screw_chiller:parameter:冷媒名称,冷媒名称,5,麦克维尔,冷媒名称,冷媒名称,,,,,,冷媒为R134a。,,doc_1a20fed1ef634d57,chunk_afc001095e0340bd,,true_merge: Same refrigerant-name parameter; all layers identify R134a.
3,ko_40e8b515811dcc91,screw_chiller,parameter_spec,hvac:screw_chiller:parameter:冷媒名称,冷媒名称,5,麦克维尔,冷媒名称,冷媒名称,,,,,,冷媒为R134a,,doc_825ad66a27254545,chunk_f4cb16c285d64f65,,true_merge: Same refrigerant-name parameter; all layers identify R134a.
3,ko_40e8b515811dcc91,screw_chiller,parameter_spec,hvac:screw_chiller:parameter:冷媒名称,冷媒名称,5,约克,制冷剂,制冷剂,,,,,,机组使用制冷剂R-134a。,,doc_4d279e5b533046ec,chunk_3334368085fb46c2,,true_merge: Same refrigerant-name parameter; all layers identify R134a.
3,ko_40e8b515811dcc91,screw_chiller,parameter_spec,hvac:screw_chiller:parameter:冷媒名称,冷媒名称,5,麦克维尔,制冷剂,制冷剂,,,,,,机组使用环保制冷剂R134a,,doc_bca0bf7a0b48419b,chunk_5ce6dedb5829428e,,true_merge: Same refrigerant-name parameter; all layers identify R134a.
3,ko_40e8b515811dcc91,screw_chiller,parameter_spec,hvac:screw_chiller:parameter:冷媒名称,冷媒名称,5,麦克维尔,制冷剂,制冷剂,,,,,,机组使用R134a制冷剂。,,doc_2b54ba615f3c4b12,chunk_3866ce940f80454e,,true_merge: Same refrigerant-name parameter; all layers identify R134a.
4,ko_43f6959cb535869f,centrifugal_chiller,performance_spec,hvac:centrifugal_chiller:performance_spec:cop,COP,4,McQuay,COP,5.89,,,,5.89,,COP 5.89,,doc_fa41ab46ea8d4bd7,chunk_a9bca3459a674947,,likely_true_conflict: Same COP metric; values differ by model/rating point.
4,ko_43f6959cb535869f,centrifugal_chiller,performance_spec,hvac:centrifugal_chiller:performance_spec:cop,COP,4,McQuay,COP,5.96,,,,5.96,,COP 5.96,,doc_fa41ab46ea8d4bd7,chunk_64b9dd94c04f401b,,likely_true_conflict: Same COP metric; values differ by model/rating point.
4,ko_43f6959cb535869f,centrifugal_chiller,performance_spec,hvac:centrifugal_chiller:performance_spec:cop,COP,4,McQuay,COP,5.32,,,,5.32,,COP 5.32,,doc_fa41ab46ea8d4bd7,chunk_ad8fc94853de44e4,,likely_true_conflict: Same COP metric; values differ by model/rating point.
4,ko_43f6959cb535869f,centrifugal_chiller,performance_spec,hvac:centrifugal_chiller:performance_spec:cop,COP,4,特灵,COP,COP,,,,,,CDHG机组在AHRI工况下COP可达7.0。,,doc_2380c51ffae04bff,chunk_6c39bd9075a64149,,likely_true_conflict: Same COP metric; values differ by model/rating point.
5,ko_0a2c2eebadb6cf7a,screw_chiller,parameter_spec,hvac:screw_chiller:parameter:主电源电压波动,主电源电压波动,4,格力,主电源电压波动,主电源电压波动,,,,,,主电源的电压波动应在铭牌标称值的±10%范围之内，且电压不平衡在±2%以内。,,doc_98015153b0e642eb,chunk_357b198cb90c4675,,true_merge: Same power-supply voltage fluctuation/range concept.
5,ko_0a2c2eebadb6cf7a,screw_chiller,parameter_spec,hvac:screw_chiller:parameter:主电源电压波动,主电源电压波动,4,约克,电源电压,电源电压,,,,,,机组电源电压允许波动为额定电压的±10%。,,doc_4d279e5b533046ec,chunk_607f4c3604714fbf,,true_merge: Same power-supply voltage fluctuation/range concept.
5,ko_0a2c2eebadb6cf7a,screw_chiller,parameter_spec,hvac:screw_chiller:parameter:主电源电压波动,主电源电压波动,4,麦克维尔,电源电压范围,电源电压范围,,,,,,电源电压最大440V，最小342V,,doc_552f27929c374dc0,chunk_4d6fd58a00354e10,,true_merge: Same power-supply voltage fluctuation/range concept.
5,ko_0a2c2eebadb6cf7a,screw_chiller,parameter_spec,hvac:screw_chiller:parameter:主电源电压波动,主电源电压波动,4,麦克维尔,电源,3相380V、50Hz,,,,3相380V、50Hz,,电源为3相380V、50Hz；电压波动±10%，频率波动±5%，电压不平衡度5%以内。,,doc_8d7dfa5b1b7c445c,chunk_129187f6ccf84612,,true_merge: Same power-supply voltage fluctuation/range concept.
6,ko_9cc9ac81388f1519,ahu,parameter_spec,hvac:ahu:parameter:热水进水温度及温差,热水进水温度及温差,3,麦克维尔,热水进水温度及温差,热水进水温度及温差,,,,,,热水进水温度60℃，温差10℃。,,doc_8b5bf068f7184b99,chunk_d8e99344feea4bc7,,likely_true_conflict: Hot-water inlet/design temperature are close but may need operator review.
6,ko_9cc9ac81388f1519,ahu,parameter_spec,hvac:ahu:parameter:热水进水温度及温差,热水进水温度及温差,3,格力,热水供热进水温度,热水供热进水温度,,,,,,热水供热进水温度默认90℃。,,doc_9121312b10544c44,chunk_a0ac2cfc91d74d02,,likely_true_conflict: Hot-water inlet/design temperature are close but may need operator review.
6,ko_9cc9ac81388f1519,ahu,parameter_spec,hvac:ahu:parameter:热水进水温度及温差,热水进水温度及温差,3,格力,热水加热器设计温度,热水加热器设计温度,,,,,,热水加热器未注明按90℃设计；冷热盘管共用按60℃设计。,,doc_9121312b10544c44,chunk_c64cb7292c49456f,,likely_true_conflict: Hot-water inlet/design temperature are close but may need operator review.
7,ko_02deaee3cba9f419,centrifugal_chiller,parameter_spec,hvac:centrifugal_chiller:parameter:冷却水进水温度,冷却水进水温度,3,Carrier,冷却水进水温度,"[-40, 118]",℃,-40,118,,,冷却水进水温度 -40-118 ℃,,doc_8398caf2c686479a,chunk_7505f520bc1048b4,,needs_human_review: Cooling-water entering temperature contains one suspicious -40..118C Carrier layer.
7,ko_02deaee3cba9f419,centrifugal_chiller,parameter_spec,hvac:centrifugal_chiller:parameter:冷却水进水温度,冷却水进水温度,3,格力,冷却水进水温度,冷却水进水温度,,,,,,冷却水进水温度应在20℃～34℃之间。,,doc_29602c0c7a83484d,chunk_dbd587c3bfc34694,,needs_human_review: Cooling-water entering temperature contains one suspicious -40..118C Carrier layer.
7,ko_02deaee3cba9f419,centrifugal_chiller,parameter_spec,hvac:centrifugal_chiller:parameter:冷却水进水温度,冷却水进水温度,3,格力,冷却水进水温度范围,冷却水进水温度范围,,,,,,冷却水进水温度在20～34℃,,doc_1cee69bd44d14925,chunk_29407980d7a545e8,,needs_human_review: Cooling-water entering temperature contains one suspicious -40..118C Carrier layer.
8,ko_3da062e3080afdd8,centrifugal_chiller,parameter_spec,hvac:centrifugal_chiller:parameter:润滑油温度控制设定范围,润滑油温度控制设定范围,3,Trane,润滑油温度控制设定范围,"[100 F, 160 F]",,100 F,160 F,,,润滑油温度控制设定范围是从 100 到 160 F,润滑油温度控制设定范围是从 100 到 160 F,doc_883beab5e0004a2c,chunk_c0f9b6ff48424f0c,,needs_human_review: Not classified automatically; operator should review evidence rows.
8,ko_3da062e3080afdd8,centrifugal_chiller,parameter_spec,hvac:centrifugal_chiller:parameter:润滑油温度控制设定范围,润滑油温度控制设定范围,3,Carrier,油箱温度范围,52~66℃,℃,52,66,52~66,,在压缩机运行期间，油箱温度范围为52~66℃。,,doc_55e5ec4e4ee84e9a,chunk_790ba0eccf024e05,,needs_human_review: Not classified automatically; operator should review evidence rows.
8,ko_3da062e3080afdd8,centrifugal_chiller,parameter_spec,hvac:centrifugal_chiller:parameter:润滑油温度控制设定范围,润滑油温度控制设定范围,3,Carrier,油箱温度范围,52~66℃,℃,52,66,52~66,,在压缩机运行期间，油箱温度范围为52～66℃。,,doc_9b605adc3a4b45cb,chunk_828d54ab410840dc,,needs_human_review: Not classified automatically; operator should review evidence rows.
9,ko_724b3ec6d034c43e,centrifugal_chiller,fault_code,hvac:centrifugal_chiller:fault_code:启动过频报警,启动过频报警,3,Carrier,启动过频报警,8次次/12小时,次/12小时,,,8次,,如果12小时内启动次数超过8次，会发出启动过频报警,,doc_9b605adc3a4b45cb,chunk_b0c219318b274359,,true_merge: Same frequent-start/start-cycle-limit fault with matching 8 starts / 12 h rule.
9,ko_724b3ec6d034c43e,centrifugal_chiller,fault_code,hvac:centrifugal_chiller:fault_code:启动过频报警,启动过频报警,3,格力,频繁启停保护,频繁启停保护,,,,,,12小时内开机次数超过8次时报警禁止启动,,doc_dcf25b0eb7fc4c75,chunk_f65deb5c70464750,,true_merge: Same frequent-start/start-cycle-limit fault with matching 8 starts / 12 h rule.
9,ko_724b3ec6d034c43e,centrifugal_chiller,fault_code,hvac:centrifugal_chiller:fault_code:启动过频报警,启动过频报警,3,格力,频繁启停禁止开机,频繁启停禁止开机,,,,,,12小时内开机次数超过8次时报警，禁止启动。,,doc_791bdca8fac943b3,chunk_d21c5bd83c734423,,true_merge: Same frequent-start/start-cycle-limit fault with matching 8 starts / 12 h rule.
10,ko_54faa91286e39dd5,screw_chiller,parameter_spec,hvac:screw_chiller:parameter:制冷温度设置,制冷温度设置,3,天加,制冷温度设置,制冷温度设置,,,,,,冷冻水出水温度设定值，允许设置范围为6~12℃，出厂默认7℃。,,doc_5d9906fdabaa47dd,chunk_4d1ccb518a81455f,,true_merge: Same chilled-water leaving temperature setpoint range concept.
10,ko_54faa91286e39dd5,screw_chiller,parameter_spec,hvac:screw_chiller:parameter:制冷温度设置,制冷温度设置,3,格力,冷冻水出水温度设定,冷冻水出水温度设定,,,,,,制冷或低温模式下可设定冷冻水出水温度,,doc_f477407ca4024d00,chunk_bcc6eda3ac1946c1,,true_merge: Same chilled-water leaving temperature setpoint range concept.
10,ko_54faa91286e39dd5,screw_chiller,parameter_spec,hvac:screw_chiller:parameter:制冷温度设置,制冷温度设置,3,约克,冷冻水出口温度,冷冻水出口温度,,,,,,标准空调机组冷冻水出口温度设定范围为4.5°C至15°C。,,doc_4d279e5b533046ec,chunk_fd4b37e8bea844c1,,true_merge: Same chilled-water leaving temperature setpoint range concept.
