knowledge_object_id,ontology_class_id,canonical_key,title,consensus_state,layer_count,publishers,layers_excerpt
ko_3ac3ed118a4deba0,"",hvac::performance_spec:压缩机输入功率,压缩机输入功率,value_disagreement,6,国祥; 日立; 美意,"{""layers"": [{""authority_level"": ""unspecified"", ""publisher"": ""\u7f8e\u610f"", ""citation"": null, ""source_name"": ""\u538b\u7f29\u673a\u8f93\u5165\u529f\u7387"", ""structured_payload"": {""parameter_name"": ""\u538b\u7f29\u673a\u8f93\u5165\u529f\u7387"", ""value"": ""57.7"", ""unit"": ""kW"", ""title"": ""\u538b\u7f29\u673a\u8f93\u5165\u529f\u7387"", ""summary"": ""\u538b\u7f29\u673a \u8f93\u5165\u529f\u7387 (kW) 57.7""}, ""value_summary"": ""57.7kW"", ""evidence_role"": ""primary"", ""doc_id"": ""doc_14e744733fa547fb"", ""chunk_id"": ""visual_page_doc_14e744733fa547fb_7""}, {""authority_level"": ""unspecified"", ""publisher"": ""\u7f8e\u610f"", ""citation"": null, ""source_name"": ""\u538b\u7f29\u673a\u8f93\u5165\u529f\u7387"", ""structured_payload"": {""parameter_name"": ""\u538b\u7f29\u673a\u8f93\u5165\u529f\u7387"", ""value"": ""68.9"", ""unit"": ""kW"", ""title"": ""\u538b\u7f29\u673a\u8f93\u5165\u529f\u7387"", ""summary"": ""\u538b\u7f29\u673a \u8f93\u5165\u529f\u7387 (kW) 68.9""}, ""value_summary"": ""68.9kW"", ""evidence_role"": ""corroborating"", ""doc_id"": ""doc_14e744733fa547fb"", ""chunk_id"": ""visual_page_doc_14e744733fa547fb_7""}, {""authority_level"": ""unspecified"", ""publisher"": ""\u7f8e\u610f"", ""citation"": null, ""source_name"": ""\u538b\u7f29\u673a\u8f93\u5165\u52"
ko_c318e02787c079a7,"",hvac::performance_spec:hvac::performance_spec:机组重量_机组重量,机组重量,value_disagreement,8,特灵; 麦克维尔,"{""layers"": [{""authority_level"": ""unspecified"", ""publisher"": ""\u9ea6\u514b\u7ef4\u5c14"", ""citation"": null, ""source_name"": ""\u673a\u7ec4\u91cd\u91cf"", ""structured_payload"": {""parameter_name"": ""\u673a\u7ec4\u91cd\u91cf"", ""value"": ""3136"", ""unit"": ""kg"", ""title"": ""\u673a\u7ec4\u91cd\u91cf"", ""summary"": ""\u673a\u7ec4\u91cd\u91cf kg 3136""}, ""value_summary"": ""3136kg"", ""evidence_role"": ""primary"", ""doc_id"": ""doc_809485234940447b"", ""chunk_id"": ""visual_page_doc_809485234940447b_4""}, {""authority_level"": ""unspecified"", ""publisher"": ""\u9ea6\u514b\u7ef4\u5c14"", ""citation"": null, ""source_name"": ""\u673a\u7ec4\u91cd\u91cf"", ""structured_payload"": {""parameter_name"": ""\u673a\u7ec4\u91cd\u91cf"", ""value"": ""3298"", ""unit"": ""kg"", ""title"": ""\u673a\u7ec4\u91cd\u91cf"", ""summary"": ""kg 3298""}, ""value_summary"": ""3298kg"", ""evidence_role"": ""corroborating"", ""doc_id"": ""doc_809485234940447b"", ""chunk_id"": ""visual_page_doc_809485234940447b_5""}, {""authority_level"": ""unspecified"", ""publisher"": ""\u9ea6\u514b\u7ef4\u5c14"", ""citation"": null, ""source_name"": ""\u673a\u7ec4\u91cd\u91cf"", ""structured_payload"": {""parameter_name"": ""\u673a\u7ec4\u91cd\u91cf"", ""value"": ""8561"", ""unit"": ""kg"", ""title"": ""\u673a\u7ec4\u91cd\u91cf"", ""summary"""
ko_02deaee3cba9f419,centrifugal_chiller,hvac:centrifugal_chiller:parameter:冷却水进水温度,冷却水进水温度,value_disagreement,4,格力; Carrier; unknown,"{""layers"": [{""authority_level"": ""unspecified"", ""publisher"": ""Carrier"", ""citation"": null, ""source_name"": ""\u51b7\u5374\u6c34\u8fdb\u6c34\u6e29\u5ea6"", ""structured_payload"": {""parameter_name"": ""\u51b7\u5374\u6c34\u8fdb\u6c34\u6e29\u5ea6"", ""range_min"": ""-40"", ""range_max"": ""118"", ""unit"": ""\u2103"", ""title"": ""\u51b7\u5374\u6c34\u8fdb\u6c34\u6e29\u5ea6"", ""summary"": ""\u51b7\u5374\u6c34\u8fdb\u6c34\u6e29\u5ea6 -40-118 \u2103""}, ""value_summary"": ""[-40, 118]"", ""evidence_role"": ""primary"", ""doc_id"": ""doc_8398caf2c686479a"", ""chunk_id"": ""chunk_7505f520bc1048b4""}, {""authority_level"": ""unspecified"", ""publisher"": ""\u683c\u529b"", ""citation"": null, ""source_name"": ""\u51b7\u5374\u6c34\u8fdb\u6c34\u6e29\u5ea6"", ""structured_payload"": {""parameter_name"": ""\u51b7\u5374\u6c34\u8fdb\u6c34\u6e29\u5ea6"", ""title"": ""\u51b7\u5374\u6c34\u8fdb\u6c34\u6e29\u5ea6\u8303\u56f4"", ""summary"": ""\u51b7\u5374\u6c34\u8fdb\u6c34\u6e29\u5ea6\u5e94\u572820\u2103\uff5e34\u2103\u4e4b\u95f4\u3002""}, ""value_summary"": ""\u51b7\u5374\u6c34\u8fdb\u6c34\u6e29\u5ea6"", ""evidence_role"": ""corroborating"", ""doc_id"": ""doc_29602c0c7a83484d"", ""chunk_id"": ""chunk_dbd587c3bfc34694""}, {""authority_level"": ""unspecified"", ""publisher"": ""\u683c\u529b"", ""cit"
ko_b78884e814b4c143,ahu,hvac:ahu:performance_spec:机组重量,机组重量,value_disagreement,6,特灵; 美意; unknown,"{""layers"": [{""authority_level"": ""unspecified"", ""publisher"": ""unknown"", ""citation"": null, ""source_name"": ""\u673a\u7ec4\u91cd\u91cf"", ""structured_payload"": {""parameter_name"": ""\u673a\u7ec4\u91cd\u91cf"", ""value"": ""57"", ""unit"": ""kg"", ""title"": ""\u673a\u7ec4\u91cd\u91cf"", ""summary"": ""\u673a\u7ec4\u91cd\u91cf kg 57""}, ""value_summary"": ""57kg"", ""evidence_role"": ""primary"", ""doc_id"": ""doc_f97a69993a6e4511"", ""chunk_id"": ""visual_page_doc_f97a69993a6e4511_16""}, {""authority_level"": ""unspecified"", ""publisher"": ""\u7279\u7075"", ""citation"": null, ""source_name"": ""\u673a\u7ec4\u91cd\u91cf"", ""structured_payload"": {""parameter_name"": ""\u673a\u7ec4\u91cd\u91cf"", ""value"": ""136"", ""unit"": ""kg"", ""title"": ""\u673a\u7ec4\u91cd\u91cf"", ""summary"": ""\u673a\u7ec4\u91cd\u91cf kg""}, ""value_summary"": ""136kg"", ""evidence_role"": ""corroborating"", ""doc_id"": ""doc_f9572a136f664dc5"", ""chunk_id"": ""visual_page_doc_f9572a136f664dc5_3""}, {""authority_level"": ""unspecified"", ""publisher"": ""\u7279\u7075"", ""citation"": null, ""source_name"": ""\u673a\u7ec4\u91cd\u91cf"", ""structured_payload"": {""parameter_name"": ""\u673a\u7ec4\u91cd\u91cf"", ""value"": ""160"", ""unit"": ""kg"", ""title"": ""\u673a\u7ec4\u91cd\u91cf"", ""summary"": ""\u673a\u7ec4\u91cd\u91cf k"
ko_2e68cf6fae21614f,water_source_heat_pump,hvac:water_source_heat_pump:parameter:启动方式_启动方式,启动方式,value_disagreement,8,美意; 麦克维尔,"{""layers"": [{""authority_level"": ""unspecified"", ""publisher"": ""\u9ea6\u514b\u7ef4\u5c14"", ""citation"": null, ""source_name"": ""\u542f\u52a8\u65b9\u5f0f"", ""structured_payload"": {""parameter_name"": ""\u542f\u52a8\u65b9\u5f0f"", ""value"": ""Y-\u0394"", ""title"": ""\u542f\u52a8\u65b9\u5f0f"", ""summary"": ""\u542f\u52a8\u65b9\u5f0f Y-\u0394""}, ""value_summary"": ""Y-\u0394"", ""evidence_role"": ""primary"", ""doc_id"": ""doc_bd77ca88132e4b0a"", ""chunk_id"": ""visual_page_doc_bd77ca88132e4b0a_10""}, {""authority_level"": ""unspecified"", ""publisher"": ""\u7f8e\u610f"", ""citation"": null, ""source_name"": ""\u542f\u52a8\u65b9\u5f0f"", ""structured_payload"": {""parameter_name"": ""\u542f\u52a8\u65b9\u5f0f"", ""value"": ""Y-\u0394\u542f\u52a8"", ""title"": ""\u542f\u52a8\u65b9\u5f0f"", ""summary"": ""\u542f\u52a8\u65b9\u5f0f Y-\u0394\u542f\u52a8""}, ""value_summary"": ""Y-\u0394\u542f\u52a8"", ""evidence_role"": ""corroborating"", ""doc_id"": ""doc_0e16ceb13bee492b"", ""chunk_id"": ""visual_page_doc_0e16ceb13bee492b_6""}, {""authority_level"": ""unspecified"", ""publisher"": ""\u7f8e\u610f"", ""citation"": null, ""source_name"": ""\u542f\u52a8\u65b9\u5f0f"", ""structured_payload"": {""parameter_name"": ""\u542f\u52a8\u65b9\u5f0f"", ""value"": ""Y-\u0394\u542f\u52a8"", ""title"": ""\u542f\u52"
ko_17f0b96529e22232,ahu,hvac:ahu:maintenance:防冻措施,防冻措施,value_disagreement,5,格力; 特灵; 美的; unknown,"{""layers"": [{""authority_level"": ""unspecified"", ""publisher"": ""\u7279\u7075"", ""citation"": null, ""source_name"": ""\u9632\u51bb\u63aa\u65bd"", ""structured_payload"": {""parameter_name"": ""\u9632\u51bb\u63aa\u65bd"", ""title"": ""\u76d8\u7ba1\u9632\u51bb\u63aa\u65bd"", ""summary"": ""\u673a\u7ec4\u4e0d\u4f7f\u7528\u7684\u5b63\u8282\uff0c\u5fc5\u987b\u53ca\u65f6\u5c06\u76d8\u7ba1\u5185\u4f59\u6c34\u6392\u5c3d\uff0c\u4ee5\u9632\u6b62\u51ac\u5b63\u6362\u70ed\u5668\u94dc\u7ba1\u51bb\u88c2\u3002""}, ""value_summary"": ""\u9632\u51bb\u63aa\u65bd"", ""evidence_role"": ""primary"", ""doc_id"": ""doc_79470be9a10d4cb0"", ""chunk_id"": ""chunk_dcde3801fc4e4624""}, {""authority_level"": ""unspecified"", ""publisher"": ""\u7f8e\u7684"", ""citation"": null, ""source_name"": ""\u51ac\u5b63\u9632\u51bb\u63aa\u65bd"", ""structured_payload"": {""parameter_name"": ""\u51ac\u5b63\u9632\u51bb\u63aa\u65bd"", ""title"": ""\u7a7a\u8c03\u7bb1\u51ac\u5b63\u9632\u51bb\u63aa\u65bd"", ""summary"": ""\u82e5\u9700\u505c\u673a\uff0c\u5fc5\u987b\u4fdd\u6301\u76d8\u7ba1\u5185\u4f9b\u6c34\u8fde\u7eed\u6d41\u52a8\u5e76\u6ce8\u5165\u9632\u51bb\u6db2\uff0c\u4e14\u5173\u95ed\u65b0\u98ce\u9600\u3002\u82e5\u957f\u65f6\u95f4\u505c\u8fd0\uff0c\u5e94\u5c06\u76d8\u7ba1\u5185\u7684\u6c34"
ko_ba9da9570cc0a8eb,"",hvac::performance_spec:启动电流_启动电流,启动电流,value_disagreement,8,美意; 麦克维尔,"{""layers"": [{""authority_level"": ""unspecified"", ""publisher"": ""\u9ea6\u514b\u7ef4\u5c14"", ""citation"": null, ""source_name"": ""\u542f\u52a8\u7535\u6d41"", ""structured_payload"": {""parameter_name"": ""\u542f\u52a8\u7535\u6d41"", ""value"": ""329.7"", ""unit"": ""A"", ""title"": ""\u542f\u52a8\u7535\u6d41"", ""summary"": ""\u542f\u52a8\u7535\u6d41 A 329.7""}, ""value_summary"": ""329.7A"", ""evidence_role"": ""primary"", ""doc_id"": ""doc_809485234940447b"", ""chunk_id"": ""visual_page_doc_809485234940447b_4""}, {""authority_level"": ""unspecified"", ""publisher"": ""\u9ea6\u514b\u7ef4\u5c14"", ""citation"": null, ""source_name"": ""\u542f\u52a8\u7535\u6d41"", ""structured_payload"": {""parameter_name"": ""\u542f\u52a8\u7535\u6d41"", ""value"": ""329.7"", ""unit"": ""A"", ""title"": ""\u542f\u52a8\u7535\u6d41"", ""summary"": ""\u542f\u52a8\u7535\u6d41 A 329.7""}, ""value_summary"": ""329.7A"", ""evidence_role"": ""corroborating"", ""doc_id"": ""doc_34e59fab0b494f7d"", ""chunk_id"": ""visual_page_doc_34e59fab0b494f7d_5""}, {""authority_level"": ""unspecified"", ""publisher"": ""\u9ea6\u514b\u7ef4\u5c14"", ""citation"": null, ""source_name"": ""\u542f\u52a8\u7535\u6d41"", ""structured_payload"": {""parameter_name"": ""\u542f\u52a8\u7535\u6d41"", ""value"": ""329.7"", ""unit"": ""A"", ""title"": ""\u542f\u52a"
ko_2522ef9d2da1235a,"",hvac::performance_spec:hvac::performance_spec:制热量_制热量,制热量,value_disagreement,8,美意; 麦克维尔,"{""layers"": [{""authority_level"": ""unspecified"", ""publisher"": ""\u9ea6\u514b\u7ef4\u5c14"", ""citation"": null, ""source_name"": ""\u5236\u70ed\u91cf"", ""structured_payload"": {""parameter_name"": ""\u5236\u70ed\u91cf"", ""value"": ""412.5"", ""unit"": ""kW"", ""title"": ""\u5236\u70ed\u91cf"", ""summary"": ""\u5236\u70ed\u91cf kW 412.5""}, ""value_summary"": ""412.5kW"", ""evidence_role"": ""primary"", ""doc_id"": ""doc_bd77ca88132e4b0a"", ""chunk_id"": ""visual_page_doc_bd77ca88132e4b0a_6""}, {""authority_level"": ""unspecified"", ""publisher"": ""\u9ea6\u514b\u7ef4\u5c14"", ""citation"": null, ""source_name"": ""\u5236\u70ed\u91cf"", ""structured_payload"": {""parameter_name"": ""\u5236\u70ed\u91cf"", ""value"": ""1309.9"", ""unit"": ""kW"", ""title"": ""\u5236\u70ed\u91cf"", ""summary"": ""\u5236\u70ed\u91cf kW 1309.9""}, ""value_summary"": ""1309.9kW"", ""evidence_role"": ""corroborating"", ""doc_id"": ""doc_bd77ca88132e4b0a"", ""chunk_id"": ""visual_page_doc_bd77ca88132e4b0a_7""}, {""authority_level"": ""unspecified"", ""publisher"": ""\u9ea6\u514b\u7ef4\u5c14"", ""citation"": null, ""source_name"": ""\u5236\u70ed\u91cf"", ""structured_payload"": {""parameter_name"": ""\u5236\u70ed\u91cf"", ""value"": ""367.5"", ""unit"": ""kW"", ""title"": ""\u5236\u70ed\u91cf"", ""summary"": ""\u5236\u70ed\u91cf kW 367.5"""
ko_007c216c7e472be1,centrifugal_chiller,hvac:centrifugal_chiller:parameter:压缩机停机再启动间隔,压缩机停机再启动间隔,value_disagreement,3,日立; 格力; unknown,"{""layers"": [{""authority_level"": ""unspecified"", ""publisher"": ""\u683c\u529b"", ""citation"": null, ""source_name"": ""\u538b\u7f29\u673a\u505c\u673a\u518d\u542f\u52a8\u95f4\u9694"", ""structured_payload"": {""parameter_name"": ""\u538b\u7f29\u673a\u505c\u673a\u518d\u542f\u52a8\u95f4\u9694"", ""title"": ""\u538b\u7f29\u673a\u505c\u673a\u518d\u542f\u52a8\u95f4\u9694"", ""summary"": ""\u538b\u7f29\u673a\u505c\u673a\u540e\u81f3\u5c1120\u5206\u949f\u624d\u80fd\u91cd\u65b0\u542f\u52a8\u3002""}, ""value_summary"": ""\u538b\u7f29\u673a\u505c\u673a\u518d\u542f\u52a8\u95f4\u9694"", ""evidence_role"": ""primary"", ""doc_id"": ""doc_29602c0c7a83484d"", ""chunk_id"": ""chunk_bcf5d8d953fc42b8""}, {""authority_level"": ""unspecified"", ""publisher"": ""unknown"", ""citation"": null, ""source_name"": ""\u538b\u7f29\u673a\u505c\u673a\u540e\u91cd\u65b0\u5f00\u673a\u7b49\u5f85\u65f6\u95f4"", ""structured_payload"": {""parameter_name"": ""\u538b\u7f29\u673a\u505c\u673a\u540e\u91cd\u65b0\u5f00\u673a\u7b49\u5f85\u65f6\u95f4"", ""value"": ""20"", ""unit"": ""\u5206\u949f"", ""title"": ""\u538b\u7f29\u673a\u505c\u673a\u540e\u91cd\u65b0\u5f00\u673a\u7b49\u5f85\u65f6\u95f4"", ""summary"": ""\u538b\u7f29\u673a\u505c\u673a 20 \u5206\u949f\u540e\u624d\u53ef\u4ee5\u91cd\u65b0\u5f00\u"
ko_e1c18677570a9686,"",hvac::performance_spec:制冷剂充灌量,制冷剂充灌量,value_disagreement,8,特灵; 美意; 麦克维尔; unknown,"{""layers"": [{""authority_level"": ""unspecified"", ""publisher"": ""\u9ea6\u514b\u7ef4\u5c14"", ""citation"": null, ""source_name"": ""\u5236\u51b7\u5242\u5145\u704c\u91cf"", ""structured_payload"": {""parameter_name"": ""\u5236\u51b7\u5242\u5145\u704c\u91cf"", ""value"": ""525"", ""unit"": ""kg"", ""title"": ""\u5236\u51b7\u5242\u5145\u704c\u91cf"", ""summary"": ""\u5236\u51b7\u5242\u5145\u704c\u91cf kg 525""}, ""value_summary"": ""525kg"", ""evidence_role"": ""primary"", ""doc_id"": ""doc_bd77ca88132e4b0a"", ""chunk_id"": ""visual_page_doc_bd77ca88132e4b0a_12""}, {""authority_level"": ""unspecified"", ""publisher"": ""\u7f8e\u610f"", ""citation"": null, ""source_name"": ""\u5236\u51b7\u5242\u5145\u6ce8\u91cf"", ""structured_payload"": {""parameter_name"": ""\u5236\u51b7\u5242\u5145\u6ce8\u91cf"", ""value"": ""100"", ""unit"": ""kg"", ""title"": ""\u5236\u51b7\u5242\u5145\u6ce8\u91cf"", ""summary"": ""\u5236\u51b7\u5242\u5145\u6ce8\u91cf kg 100""}, ""value_summary"": ""100kg"", ""evidence_role"": ""corroborating"", ""doc_id"": ""doc_14e744733fa547fb"", ""chunk_id"": ""visual_page_doc_14e744733fa547fb_5""}, {""authority_level"": ""unspecified"", ""publisher"": ""\u7f8e\u610f"", ""citation"": null, ""source_name"": ""\u5236\u51b7\u5242\u5145\u6ce8\u91cf"", ""structured_payload"": {""parameter_name"": """
