file_name,source_path,failure_count,last_success_run
【格力】中央空调 MB 系列模块式风冷冷（热）水机组手册-.pdf,/Volumes/TSD302/pan/a00238/02、格力/技术手册/【格力】中央空调 MB 系列模块式风冷冷（热）水机组手册-.pdf,1,20260507T185426Z_hvac_doclevel_extraction_batch
【国祥】模块机控制器规格书.pdf,/Volumes/TSD302/pan/a00238/21、国祥/【国祥】模块机控制器规格书.pdf,1,20260507T185426Z_hvac_doclevel_extraction_batch
【格力】模块风冷冷水机组控制系统手册-.pdf,/Volumes/TSD302/pan/a00238/02、格力/技术手册/【格力】模块风冷冷水机组控制系统手册-.pdf,1,20260507T185426Z_hvac_doclevel_extraction_batch
【三菱重工】线控器用户使用说明手册（20页）.pdf,/Volumes/TSD302/pan/a00238/07、三菱重工/技术手册/【三菱重工】线控器用户使用说明手册（20页）.pdf,1,20260507T200220Z_hvac_doclevel_extraction_batch
【天加 】风冷净化空调机组安装操作手册.pdf,/Volumes/TSD302/pan/a00238/13、天加中央空调/【天加 】风冷净化空调机组安装操作手册.pdf,1,20260507T200220Z_hvac_doclevel_extraction_batch
【约克】风冷冷水机组YCAC，YMAC，YSAC通用控制器使用手册3.0.pdf,/Volumes/TSD302/pan/a00238/04、约克中央空调/约克技术手册/【约克】风冷冷水机组YCAC，YMAC，YSAC通用控制器使用手册3.0.pdf,1,20260507T200220Z_hvac_doclevel_extraction_batch
【开利】30AQ开利风冷式热泵机组（28页）-制冷百家网.pdf,/Volumes/TSD302/pan/a00238/03、开利中央空调/技术手册/【开利】30AQ开利风冷式热泵机组（28页）-制冷百家网.pdf,1,20260507T200558Z_hvac_doclevel_extraction_batch
【顿汉布什】风冷螺杆安装操作说明书.pdf,/Volumes/TSD302/pan/a00238/18、顿汉布什/【顿汉布什】风冷螺杆安装操作说明书.pdf,1,20260508T073530Z_hvac_doclevel_extraction_batch
【美的】C系列干式螺杆冷水机组技术手册（44页）-制冷百家网.pdf,/Volumes/TSD302/pan/a00238/09、美的/美的技术手册/【美的】C系列干式螺杆冷水机组技术手册（44页）-制冷百家网.pdf,5,20260508T111006Z_hvac_doclevel_extraction_batch
【约克】YMAC风冷冷水热泵机组维修手册（46页）-制冷百家网.pdf,/Volumes/TSD302/pan/a00238/04、约克中央空调/约克技术手册/【约克】YMAC风冷冷水热泵机组维修手册（46页）-制冷百家网.pdf,1,20260508T085745Z_hvac_doclevel_extraction_batch
【麦克维尔】WSC WDC HSC HDC单／双压缩机离心式安装维护手册（49页）-制冷百家网.pdf,/Volumes/TSD302/pan/a00238/06、麦克维尔/技术手册/【麦克维尔】WSC WDC HSC HDC单／双压缩机离心式安装维护手册（49页）-制冷百家网.pdf,1,20260508T104201Z_hvac_doclevel_extraction_batch
【日立】RCU螺杆冷冻机组安装维护技术手册（48页）.pdf,/Volumes/TSD302/pan/a00238/12、日立空调/技术手册/【日立】RCU螺杆冷冻机组安装维护技术手册（48页）.pdf,2,20260508T111006Z_hvac_doclevel_extraction_batch
【约克】RWB-Ⅱ螺杆压缩机机组安装操作维护手册（56页）-制冷百家网.pdf,/Volumes/TSD302/pan/a00238/04、约克中央空调/约克技术手册/【约克】RWB-Ⅱ螺杆压缩机机组安装操作维护手册（56页）-制冷百家网.pdf,1,20260508T124021Z_hvac_doclevel_extraction_batch
【三菱重工】eco-touch 触摸线控器使用手册（60页）.pdf,/Volumes/TSD302/pan/a00238/07、三菱重工/技术手册/【三菱重工】eco-touch 触摸线控器使用手册（60页）.pdf,1,20260508T124021Z_hvac_doclevel_extraction_batch
【麦克维尔】WMD单螺杆安装维护手册（63页）-.pdf,/Volumes/TSD302/pan/a00238/06、麦克维尔/技术手册/【麦克维尔】WMD单螺杆安装维护手册（63页）-.pdf,1,20260508T134633Z_hvac_doclevel_extraction_batch
【麦克维尔】MS型半封闭单螺杆式压缩机维护手册（64页）-.pdf,/Volumes/TSD302/pan/a00238/06、麦克维尔/技术手册/【麦克维尔】MS型半封闭单螺杆式压缩机维护手册（64页）-.pdf,1,20260508T134633Z_hvac_doclevel_extraction_batch
【格力】模块式风冷冷(热)水机组技术手册（67页）-.pdf,/Volumes/TSD302/pan/a00238/02、格力/技术手册/【格力】模块式风冷冷(热)水机组技术手册（67页）-.pdf,1,20260508T134633Z_hvac_doclevel_extraction_batch
【格力】C系列离心式冷水机组技术手册（69页）-.pdf,/Volumes/TSD302/pan/a00238/02、格力/技术手册/【格力】C系列离心式冷水机组技术手册（69页）-.pdf,3,20260508T152651Z_hvac_doclevel_extraction_batch
【麦克维尔】AWS风冷机组操作维修手册-.pdf,/Volumes/TSD302/pan/a00238/06、麦克维尔/技术手册/【麦克维尔】AWS风冷机组操作维修手册-.pdf,1,20260508T154855Z_hvac_doclevel_extraction_batch
【美的】风冷热泵模块机组技术手册 （C、G、H系列）148页-制冷百家网.pdf,/Volumes/TSD302/pan/a00238/09、美的/美的技术手册/【美的】风冷热泵模块机组技术手册 （C、G、H系列）148页-制冷百家网.pdf,1,20260508T163304Z_hvac_doclevel_extraction_batch
